baseline,model,n_real,seed,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
signal_feature_only,extra_trees,50,0,file_id_1,1,150,421,0.7933491686460807,0.5905723905723906,0.9333333333333333,0.0,0.8383838383838383,"[[168,23,0],[0,0,63],[1,0,166]]"
signal_feature_only,extra_trees,50,1,file_id_1,1,150,421,0.8052256532066508,0.6724940025278316,0.8938547486033519,0.24299065420560748,0.8806366047745358,"[[160,31,0],[6,13,44],[1,0,166]]"
signal_feature_only,extra_trees,50,2,file_id_1,1,150,421,0.7980997624703088,0.5881298756061565,0.9408602150537635,0.0,0.8235294117647058,"[[175,16,0],[0,0,63],[6,0,161]]"
signal_feature_only,extra_trees,50,3,file_id_1,1,150,421,0.9026128266033254,0.8434114319189349,0.9623655913978495,0.6486486486486487,0.9192200557103064,"[[179,12,0],[0,36,27],[2,0,165]]"
signal_feature_only,extra_trees,50,4,file_id_1,1,150,421,0.8004750593824228,0.5916076630895748,0.9402173913043478,0.0,0.8346055979643766,"[[173,18,0],[1,0,62],[3,0,164]]"
signal_feature_only,extra_trees,50,5,file_id_1,1,150,421,0.7767220902612827,0.5819058855862131,0.9162011173184358,0.0,0.8295165394402035,"[[164,27,0],[0,0,63],[3,1,163]]"
signal_feature_only,extra_trees,50,6,file_id_1,1,150,421,0.9263657957244655,0.9002590524331158,0.9180327868852459,0.7887323943661971,0.9940119760479041,"[[168,23,0],[6,56,1],[1,0,166]]"
signal_feature_only,extra_trees,50,7,file_id_1,1,150,421,0.9026128266033254,0.8414441398549126,0.9619565217391305,0.6371681415929203,0.925207756232687,"[[177,14,0],[0,36,27],[0,0,167]]"
signal_feature_only,extra_trees,50,8,file_id_1,1,150,421,0.7885985748218527,0.6192399016239002,0.9141274238227147,0.10638297872340426,0.8372093023255814,"[[165,26,0],[0,5,58],[5,0,162]]"
signal_feature_only,extra_trees,50,9,file_id_1,1,150,421,0.8764845605700713,0.7958539721542742,0.9508196721311475,0.5321100917431193,0.9046321525885559,"[[174,17,0],[0,29,34],[1,0,166]]"
majority,majority,full,0,file_id_2,2,1292,445,0.39325842696629215,0.18817204301075272,0.5645161290322581,0.0,0.0,"[[175,0,0],[59,0,0],[211,0,0]]"
window_position_only,extra_trees,full,0,file_id_2,2,1292,445,0.13258426966292136,0.3333333333333333,0.0,1.0,0.0,"[[0,0,175],[0,59,0],[211,0,0]]"
signal_feature_only,extra_trees,full,0,file_id_2,2,1292,445,0.9865168539325843,0.9768064228367529,0.9830508474576272,0.9473684210526315,1.0,"[[174,1,0],[5,54,0],[0,0,211]]"
signal_feature_only,extra_trees,10,0,file_id_2,2,30,445,0.9101123595505618,0.8653591794348595,0.9,0.7175572519083969,0.9785202863961814,"[[153,19,3],[12,47,0],[0,6,205]]"
signal_feature_only,extra_trees,10,1,file_id_2,2,30,445,0.8719101123595505,0.8274757372548907,0.8430232558139535,0.6762589928057554,0.9631449631449631,"[[145,30,0],[12,47,0],[12,3,196]]"
signal_feature_only,extra_trees,10,2,file_id_2,2,30,445,0.946067415730337,0.9162331617777163,0.9333333333333333,0.8316831683168316,0.9836829836829837,"[[168,0,7],[17,42,0],[0,0,211]]"
signal_feature_only,extra_trees,10,3,file_id_2,2,30,445,0.9146067415730337,0.8308127843975338,0.9133858267716536,0.5934065934065934,0.9856459330143541,"[[174,0,1],[32,27,0],[0,5,206]]"
signal_feature_only,extra_trees,10,4,file_id_2,2,30,445,0.9595505617977528,0.9372157264096774,0.9620991253644315,0.8615384615384616,0.988009592326139,"[[165,10,0],[3,56,0],[0,5,206]]"
signal_feature_only,extra_trees,10,5,file_id_2,2,30,445,0.898876404494382,0.8276023289495428,0.8788732394366198,0.6086956521739131,0.9952380952380953,"[[156,19,0],[24,35,0],[0,2,209]]"
signal_feature_only,extra_trees,10,6,file_id_2,2,30,445,0.9235955056179775,0.8974329254248118,0.9124668435013262,0.819047619047619,0.9607843137254902,"[[172,2,1],[16,43,0],[14,1,196]]"
signal_feature_only,extra_trees,10,7,file_id_2,2,30,445,0.9280898876404494,0.8973081802050725,0.9198813056379822,0.7913669064748201,0.9806763285024155,"[[155,20,0],[4,55,0],[3,5,203]]"
signal_feature_only,extra_trees,10,8,file_id_2,2,30,445,0.8943820224719101,0.83598908693063,0.8613569321533924,0.656,0.9906103286384976,"[[146,25,4],[18,41,0],[0,0,211]]"
signal_feature_only,extra_trees,10,9,file_id_2,2,30,445,0.952808988764045,0.9175231973703291,0.9441340782122905,0.8108108108108109,0.997624703087886,"[[169,6,0],[14,45,0],[0,1,210]]"
signal_feature_only,extra_trees,25,0,file_id_2,2,75,445,0.9550561797752809,0.9139547710976282,0.9459459459459459,0.7959183673469388,1.0,"[[175,0,0],[20,39,0],[0,0,211]]"
signal_feature_only,extra_trees,25,1,file_id_2,2,75,445,0.9707865168539326,0.9574231920430707,0.9707602339181286,0.9133858267716536,0.9881235154394299,"[[166,7,2],[1,58,0],[0,3,208]]"
signal_feature_only,extra_trees,25,2,file_id_2,2,75,445,0.9865168539325843,0.981049948341408,0.9829545454545454,0.9649122807017544,0.9952830188679245,"[[173,0,2],[4,55,0],[0,0,211]]"
signal_feature_only,extra_trees,25,3,file_id_2,2,75,445,0.952808988764045,0.9242393122346627,0.9398280802292264,0.8376068376068376,0.9952830188679245,"[[164,9,2],[10,49,0],[0,0,211]]"
signal_feature_only,extra_trees,25,4,file_id_2,2,75,445,0.9820224719101124,0.9683087861858812,0.9776536312849162,0.9272727272727272,1.0,"[[175,0,0],[8,51,0],[0,0,211]]"
signal_feature_only,extra_trees,25,5,file_id_2,2,75,445,0.9842696629213483,0.9752266440057892,0.9830508474576272,0.9473684210526315,0.995260663507109,"[[174,0,1],[5,54,0],[0,1,210]]"
signal_feature_only,extra_trees,25,6,file_id_2,2,75,445,0.9550561797752809,0.9296536796536796,0.9404761904761905,0.8484848484848485,1.0,"[[158,17,0],[3,56,0],[0,0,211]]"
